ARCHIVO | ZONA | ASSETS_IMPORTADOS
SM_SportsEquipmentRack_Gimnasio_A.fbx | Gimnasio | /Game/Modelos3D/Gimnasio/SM_SportsEquipmentRack_Gimnasio_A.SM_SportsEquipmentRack_Gimnasio_A
SM_VestidoresBlockout_Gimnasio_A.fbx | Gimnasio | /Game/Modelos3D/Gimnasio/SM_VestidoresBlockout_Gimnasio_A.SM_VestidoresBlockout_Gimnasio_A
SM_ArchivoFotograficoBlockout_Historia_A.fbx | Historia | /Game/Modelos3D/Historia/SM_ArchivoFotograficoBlockout_Historia_A.SM_ArchivoFotograficoBlockout_Historia_A
SM_HemerotecaBlockout_Historia_A.fbx | Historia | /Game/Modelos3D/Historia/SM_HemerotecaBlockout_Historia_A.SM_HemerotecaBlockout_Historia_A
SM_MapTable_Historia_A.fbx | Historia | /Game/Modelos3D/Historia/SM_MapTable_Historia_A.SM_MapTable_Historia_A
SM_MapotecaBlockout_Historia_A.fbx | Historia | /Game/Modelos3D/Historia/SM_MapotecaBlockout_Historia_A.SM_MapotecaBlockout_Historia_A
SM_MuseoBlockout_Historia_A.fbx | Historia | /Game/Modelos3D/Historia/SM_MuseoBlockout_Historia_A.SM_MuseoBlockout_Historia_A
SM_MuseumDisplayCase_Historia_A.fbx | Historia | /Game/Modelos3D/Historia/SM_MuseumDisplayCase_Historia_A.SM_MuseumDisplayCase_Historia_A
SM_NewspaperRack_Historia_A.fbx | Historia | /Game/Modelos3D/Historia/SM_NewspaperRack_Historia_A.SM_NewspaperRack_Historia_A
SM_ComputerDesk_Informatica_A.fbx | Informatica | /Game/Modelos3D/Informatica/SM_ComputerDesk_Informatica_A.SM_ComputerDesk_Informatica_A
SM_LaboratoriosBlockout_Informatica_A.fbx | Informatica | /Game/Modelos3D/Informatica/SM_LaboratoriosBlockout_Informatica_A.SM_LaboratoriosBlockout_Informatica_A
SM_MonitorWall_Informatica_A.fbx | Informatica | /Game/Modelos3D/Informatica/SM_MonitorWall_Informatica_A.SM_MonitorWall_Informatica_A
SM_MonitoreoBlockout_Informatica_A.fbx | Informatica | /Game/Modelos3D/Informatica/SM_MonitoreoBlockout_Informatica_A.SM_MonitoreoBlockout_Informatica_A
SM_SecurityCamera_Informatica_A.fbx | Informatica | /Game/Modelos3D/Informatica/SM_SecurityCamera_Informatica_A.SM_SecurityCamera_Informatica_A
SM_ServerRack_Informatica_A.fbx | Informatica | /Game/Modelos3D/Informatica/SM_ServerRack_Informatica_A.SM_ServerRack_Informatica_A
SM_ServidoresBlockout_Informatica_A.fbx | Informatica | /Game/Modelos3D/Informatica/SM_ServidoresBlockout_Informatica_A.SM_ServidoresBlockout_Informatica_A
SM_ElectricaBlockout_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_ElectricaBlockout_Ingenieria_A.SM_ElectricaBlockout_Ingenieria_A
SM_ElectricalPanel_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_ElectricalPanel_Ingenieria_A.SM_ElectricalPanel_Ingenieria_A
SM_ElectronicaBlockout_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_ElectronicaBlockout_Ingenieria_A.SM_ElectronicaBlockout_Ingenieria_A
SM_ElectronicsBench_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_ElectronicsBench_Ingenieria_A.SM_ElectronicsBench_Ingenieria_A
SM_MaterialesBlockout_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_MaterialesBlockout_Ingenieria_A.SM_MaterialesBlockout_Ingenieria_A
SM_MechanicBench_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_MechanicBench_Ingenieria_A.SM_MechanicBench_Ingenieria_A
SM_PrototiposBlockout_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_PrototiposBlockout_Ingenieria_A.SM_PrototiposBlockout_Ingenieria_A
SM_PrototypeTable_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_PrototypeTable_Ingenieria_A.SM_PrototypeTable_Ingenieria_A
SM_RoboticArm_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_RoboticArm_Ingenieria_A.SM_RoboticArm_Ingenieria_A
